,Actors 1,Actors 2,Actors 3,Actors 4,Actors 5,Actors 6,Actors 7,Budget,Dialogue,Director,Directors,First Day,First Week,First Weekend,Genre,India Gross,Lyrics,Music,Overseas Gross,Producer,Production Banner,Release Date,Runtime,Screenplay,Screens,Story,Title,Worldwide Gross
1517,Jimmy Shergill,Saloni Aswani,Rakesh Bedi,Mushtaq Khan,Rajeev Verma,Vrajesh Hirjee,Usha Bachani,"2,25,00,000",Bholu Khan,Faruq Masudi,,"40,000","1,75,000","1,25,000",Drama,"2,70,000",Nusrat Badr,Aadesh Shrivastava,$---,Kesar Kothari,Elfit Exports Pvt. Ltd.,17-Nov-06,125 min,Faruq Masudi,8,Bholu Khan,Rehguzar,"2,70,000"
1518,Rahul,,Divya Dwivedi,,Himani Shivpuri,Krishna Bhatt,,"15,00,000",Salim Hyder,Vikrant Bhatt,,--,--,--,Adult,"6,50,000","Ravi Chopra,Sajan Agarwal","Manoj Santoshi,Sangeeta Trivedi",$---,,Chintamani Films,10-Nov-06,96 min,Salim Hyder,2,Salim Hyder,Yeh Hai U Turn,"6,50,000"
1519,Nidhi Gill,Rishabh,,,,,,"1,50,00,000",Shailendra Singh Rajput,Shailendra Singh Rajput,,"2,25,000","9,00,000","6,75,000",Drama,"19,25,000",Raj Inder Raj,Saurabh Mukherjee,$---,"Prem Gangwani,Prakash Raja",Prem Raja Films,10-Nov-06,105 min,"Shailendra Singh Rajput,Iqbal Sidatar",15,Shailendra Singh Rajput,Bipasha - The Black Beauty,"19,25,000"
1520,Irrfan Khan,Konkona Sen Sharma,Rajit Kapoor,Sandhya Mridul,Zakir Hussain,Rajeev Verma,"
","2,25,00,000",Dilip Shukla,Tanveer Khan,,"4,75,000","22,50,000","16,00,000",Thriller,"38,75,000",,,$---,Ravi Agrawal,Percept Picture Company,10-Nov-06,102 min,,55,Dilip Shukla,Deadline - Sirf 24 Ghante,"38,75,000"
1521,Sapna,,,,,"
",,"15,00,000",,Kanti Shah,,--,--,--,Adult,"10,75,000",,Sawan Kumar Sawan,$---,,Pali Films,27-Oct-06,80 min,,1,,No Parking,"10,75,000"
1522,Shakeela,,,,,"
",,"12,00,000",,Kanti Shah,,--,--,--,Adult,"13,25,000",,Sawan Kumar Sawan,$---,,Pali Films,27-Oct-06,77 min,,1,,Garam Padosan,"13,25,000"
1523,Tanveer Hashmi,,,,,"
",,"12,50,000",Ashwin Khatri,Suresh Jain,,--,--,--,Adult,"11,50,000",Anjan Saagari,"Afsar - Sajid,Sayyed Ahmed",$---,,Mayura Films,03-Nov-06,97 min,Ashwin Khatri,1,Ashwin Khatri,Kaamwali,"11,50,000"
1524,Priyanshu Chatterjee,Neha Dhupia,Preeti Puri,Anjan Srivastav,Anang Desai,Avtar Gill,,"3,00,00,000",Dilip Shukla,Ujjwal Chatterjee,,"1,75,000","7,50,000","5,25,000",Drama,"12,00,000",Sudhakar Sharma,Kumar Sanu,$---,Kumar Sanu,Sana Creations,13-Oct-06,125 min,,25,Dilip Shukla,Utthaan,"12,00,000"
1525,Gaurav Kakkar,Divyaman Singh,Abhay Vaidya,Trissha,Anokhi Shrivastav,Saurabh Arya,Asrani,"1,00,00,000",,Mahesh Kapoor,,"25,000","1,00,000","75,000",Love Story,"1,75,000",Ali Vasudev,Ali Vasudev,$---,Dhianu D. Das,Das Entertainment Pvt. Ltd.,06-Oct-06,119 min,Mahesh Kapoor,5,,Hota Hai Dil Pyaar Mein Paagal,"1,75,000"
1526,Vinod Sherawat,Shruti Ulfat,Purva Parag,Vikram Gokhale,Brijendra Kala,,,"1,25,00,000",Rajiv Velicheti,Sameer Hanchate,,"2,00,000","8,75,000","6,50,000",Drama,"16,00,000",Irshad Kamil,Kartik Shah,$---,Sameer Hanchate,Metropolis Multimedia Company,06-Oct-06,122 min,Sameer Hanchate,25,Bijesh Jayarajan,Gafla,"16,00,000"
1527,Rehan Khan,Rajesh Khanna,Zeenat Aman,Anjana Sukhani,Razzak Khan,Rajeev Verma,,"2,00,00,000","Mahrukh Mirza,Sharookh Mirza,Humayan Mirza","Farhan Mirza,Sharookh Mirza",,"25,000","1,00,000","75,000",Love Story,"1,75,000","Sharookh Mirza,Moid Elham","Pramod Tripathi,Abbas Jelani,Rajendra Shiv,Guru Sharma,Anand - Milind",$---,Tess Mirza,Tess Mirza Films Pvt. Ltd.,06-Oct-06,104 min,"Humayan Mirza,Sharookh Mirza,Mahrukh Mirza",8,"Humayan Mirza,Mahrukh Mirza,Sharookh Mirza",Jaana... Lets Fall In Love,"1,75,000"
1528,Amarjeet,Shilpa Anand,Aslam Khan,Deepa Bakshi,Tiku Talsania,Manoj Pahwa,Narendra Bedi,"2,75,00,000",Rajeev Agarwal,K. Ravi Shankar,,"2,75,000","12,00,000","8,75,000",Love Story,"20,50,000","Shabbir Ahmed,Mehboob",Sandesh Shandilya,$---,Rita J. Shukla,J71 Entertainment Pvt. Ltd.,06-Oct-06,129 min,Rajeev Agarwal,50,Neeraj Pathak,Iqraar By Chance,"20,50,000"
1529,Jackie Shroff,Koel Puri,Archana Puran Singh,Puneet Tejwani,Carron Kapoor,Premjit Singh,Neil Bhoopalam,"2,75,00,000","Rohit Kaushik,Nandita Puri",Rohit Kaushik,,"2,50,000","11,00,000","8,00,000",Rom - Com,"18,25,000",Sameer,Jatin - Lalit,$---,Punam Sinha,Shotgun Movies,06-Oct-06,135 min,Nandita Puri,70,Nandita Puri,Mera Dil Leke Dekkho,"18,25,000"
1530,Mrinal Kulkarni,Rishi Deshpande,Shishir Sharma,G.P. Deshpande,Vijaya Mehta,Shreyas Paranjpe,Sachin Khedekar,"50,00,000",Sandhya Gokhale,Amol Palekar,,"30,000","1,50,000","1,10,000",Drama,"2,50,000",,Anand Modak,$---,Amol Palekar,Saarth,29-Sep-06,118 min,Sandhya Gokhale,9,Sandhya Gokhale,The Quest,"2,50,000"
1531,Anupam Kher,Dee Wallace Stone,David Oyelowo,Kirstin Erickson,Sunkrish Bala,Amita Bhalla,Ranjit Choudhary,"3,25,00,000",Varun Khanna,Varun Khanna,,"45,000","2,00,000","1,50,000",Drama,"3,25,000",,Abu Malik,$---,Krishna Datla,White Stripes Entertainment Ltd.,29-Sep-06,95 min,Varun Khanna,12,Varun Khanna,American Blend,"3,25,000"
1532,Santosh Barmola,Suzana Rodrigues,Jitin Gulati,Manjari Fadnis,Varun Sharma,Madurima Tulli,Sumit Suri,"10,00,00,000","Rajesh Chawla,Tejpal Singh Rawat",Gurmmeet Singh,,"51,00,000","2,41,00,000","1,78,00,000",Thriller,"3,45,00,000","Kumaar,Irfan Siddique","Toshi - Sharib,Meet Bros,John Stewart",$---,"Sunil Lulla,Anubhav Sinha",Alumbra Entertainment,27-Sep-13,109 min,,450,"Rajesh Chawla,Tejpal Singh Rawat",Warning,"3,45,00,000"
1533,Ashmit Patel,Veena Malik,Harsh Chhaya,Adi Irani,Bobby Darling,,,"5,00,00,000",Sangeeta Ahlawat,Navin Batra,,"12,00,000","54,50,000","40,00,000",Mystery,"81,00,000","Kunwar Juneja,Hari Shanker,Dinesh Raghuvanshi",DJ Sheizwood,$---,Ravi Ahlawat,Eye Telefilms Pvt. Ltd.,27-Sep-13,0 min,Sangeeta Ahlawat,500,Sangeeta Ahlawat,Real Life Of Supermodel,"81,00,000"
1534,Chandan Roy Sanyal,Elena Kazan,Arfii Lamba,Mayank Kumar,Sonia Bindra,,,"4,00,00,000","Sumit Saxena,Ashish R. Shukla",Ashish R. Shukla,,"1,75,000","8,00,000","6,00,000",Thriller,"11,50,000",Varun Grover,Atif Afzal,$---,"Rohit Khaitan,Sunil Pathara",Glamourstruck Productions Pvt. Ltd.,27-Sep-13,109 min,Ashish R. Shukla,85,"Sumit Saxena,Ashish R. Shukla",Prague,"11,50,000"
1535,Sumeet Nijhawan,Mona Wasu,Manish Chaudhary,Pankaj Tripathi,Mohammed Zeeshan Ayyub,Mukesh Rishi,Manav Kaushik,"1,75,00,000","Sumeet Nijhawan,Shirish Sharma",Jaideep Chopra,,"1,25,000","6,25,000","4,50,000",Thriller,"9,25,000","Swanand Kirkire,Arun Kumar","Faizan Hussain,Agnel Roman",$---,"Jaideep Chopra,Narendra Singh",FilmyBox Movies,27-Sep-13,121 min,"Sumeet Nijhawan,Shirish Sharma",70,"Sumeet Nijhawan,Shirish Sharma",Maazii,"9,25,000"
1536,Shweta Bhardwaj,Sheena Shahabadi,Arjun Mahajan,,Shakti Kapoor,Farida Jalal,Suresh Menon,"2,50,00,000","Adi Irani,Ranjeev Verma,Shiva Rindani","Adi Irani,Shiva Rindani",,"4,50,000","18,75,000","14,00,000",Drama,"29,00,000",Panchhi Jalonvi,Daboo Malik,$---,"Ashish Mishra,Amit Mishra",Maa Tarini Films,27-Sep-13,136 min,"Shiva Rindani,Ranjeev Verma,Adi Irani",200,Ranjeev Verma,Raqt,"29,00,000"
1537,Ritesh Raghuvanshi,,,,,,,"15,00,000",Sagar Pathak,Sanoj Mishra,,--,--,--,Drama,"1,55,000",Bipin Bahar,Aditya Gaud,$---,"Anil Lodhi,C.P. Tiwari",Shining Star Films,27-Sep-13,133 min,Sagar Pathak,1,Sagar Pathak,Mahidpur 0 K.M.,"1,55,000"
1538,Rakesh Bapat,Nushrat Bharucha,Sakhi Smriti Kaushik,Purva Parag,Nishikant Dixit,Farida Dadi,Abhijit Lahiri,"4,25,00,000","Sulekha Bajpai,Sushma Ahuja",Ahmed Siddiqui,,"4,00,000","19,50,000","14,00,000",Devotional,"31,00,000",Swanand Kirkire,Anu Malik,$---,,Percept Picture Company,29-Sep-06,131 min,Sulekha Bajpai,110,Sushma Ahuja,Jai Santoshi Maa,"31,00,000"
1539,Rajeev Verma,,,,,"
",,"15,00,000",,Lawrence D'Souza,,--,--,--,Drama,"72,500",Ravindra Jain,Ravindra Jain,$---,Reshma Jaiswal,Rudra Eye,22-Sep-06,0 min,,1,,Radha Ne Mala Japi Shyam Ki,"72,500"
1540,Sudhanshu Pandey,Aryan Vaid,Aditi Govitrikar,Kavitta Verma,Makarand Deshpande,Vishwajeet Pradhan,Ehsan Khan,"1,25,00,000","Kaaran Choudhary,Rakesh Chaturvedi",Kaaran Choudhary,,"35,000","1,50,000","1,15,000",Comedy,"2,75,000","Sajan Harharpuri,Zaheer Anwar,Aslam Sani",Nayab - Raja,$---,,Capital Films Pvt. Ltd.,22-Sep-06,114 min,Kaaran Choudhary,6,"Rakesh Chaturvedi,Kaaran Choudhary",Manoranjan - The Entertainment,"2,75,000"
1541,Rahul Singh,Parmita Katkar,Madhoo,Rahul Dev,Mukesh Tiwari,Amrish Puri,Sharat Saxena,"1,75,00,000",Rahul Singh,Sanjay D. Singh,,"2,25,000","9,50,000","6,75,000",Action,"25,25,000",Prabha Thakur,Uttam Singh,$---,,Jia Entertainment Network,15-Sep-06,145 min,Rahul Singh,20,Rahul Singh,Kachchi Sadak,"25,25,000"
1542,Zayed Khan,Isha Sharwani,Minissha Lamba,Sharat Babu,Smita Jaykar,Suresh Menon,Rajat Bedi,"9,25,00,000",Suresh Krishna,Suresh Krishna,,"41,00,000","1,83,00,000","1,33,00,000",Drama,"3,04,00,000",Sameer,Himesh Reshammiya,$---,Narendra Bajaj,Siddhi Vinayak Movies,22-Sep-06,121 min,,225,Janak - Hriday,Rocky,"3,04,00,000"
1543,Shiney Ahuja,Kangana Ranaut,Shaad Randhawa,Purab Kohli,Candida,,,"7,75,00,000",Shagufta Rafique,Mohit Suri,,"82,00,000","4,18,00,000","2,68,00,000",Drama,"9,56,00,000","Neelish Misra,Sayeed Quadri",Pritam,$---,Mukesh Bhatt,Vishesh Films Pvt. Ltd.,29-Sep-06,132 min,Mahesh Bhatt,275,Shagufta Rafique,Woh Lamhe,"9,56,00,000"
1544,Tanveer Hashmi,,,,,"
",,"12,50,000",Gopal Varma,Suresh Jain,,--,--,--,Adult,"4,00,000",,Shivam Bagchi,$---,,Mayura Films,08-Sep-06,75 min,Gopal Varma,1,Gopal Varma,Night Lover,"4,00,000"
1545,Aftab Shivdasani,Bipasha Basu,Preeti Jhangiani,Rahul Dev,Sanjay Narvekar,Paresh Rawal,Zarina Wahab,"5,50,00,000","Kumar Dave,Glen Barreto,Ankush Mohla","Glen Barreto,Ankush Mohla",,"3,75,000","17,00,000","12,50,000",Sci Fi / Fantasy,"28,50,000","Rasheed Lucknowi,Sameer,Jalees Sherwani","Sajid - Wajid,Nikhil - Vinay",$---,Alok Shrivastava,P.K. Arts Creation Films Ltd.,01-Sep-06,121 min,,55,Girish Dhamija,Jaane Hoga Kya,"28,50,000"
1546,Mink,Milind Soman,Yukta Mookhey,Sameer Dharmadhikari,Seema Biswas,,,"2,00,00,000","Anuradha Tiwari,Punnu Brar",Sanjay Khanna,,"65,000","2,75,000","2,00,000",Thriller,"4,00,000","Punnu Brar,Sandeep Nath,Praveen Bhardwaj,Ishq Bector,Karamjeet Kaddon","Bappi - Tutal,Ishq Bector,Punnu Brar",$---,Punnu Brar,Bro & Sis Productions,18-Aug-06,135 min,Punnu Brar,25,Sameer Arora,Katputtli,"4,00,000"
1547,Amit Pachori,Urmila,Reena Kapoor,"
",,,,"20,00,000","Shekhar Sharma,Paras Jaiswal",Mannan A. Gada,,--,--,--,Drama,"4,75,000",Shekhar Sharma,,$---,Mannan A. Gada,Max Films,28-Jul-06,90 min,,1,"Shekhar Sharma,Paras Jaiswal",Prem Milan,"4,75,000"
1548,Jackie Shroff,Aditya Seal,,,,,,"1,00,00,000",,Jaidev Chakravorty,,"1,25,000","5,75,000","4,25,000",Drama,"9,50,000",Jalees Sherwani,Anand - Milind,$---,Rajendra Kumar Jain,Shanti Interactives Pvt. Ltd.,28-Jul-06,105 min,,20,,We R Friends,"9,50,000"
1549,Gulshan Rana,,,,,"
",,"20,00,000",Lalji Gorakhpuri,Suresh Jain,,--,--,--,Adult,"11,00,000",Anjan Saagari,Shivam Farhaan,$---,,Om Siddi Vinayak Creations Pvt. Ltd.,21-Jul-06,123 min,,1,Lalji Gorakhpuri,The Real Dream Girl,"11,00,000"
1550,Paresh Rawal,Irrfan Khan,Jimmy Shergill,Konkona Sen Sharma,Ratna Pathak,Suhasini Mulay,Ankur Khanna,"6,25,00,000",Uttam Gada,Naseeruddin Shah,,"17,00,000","88,00,000","60,00,000",Drama,"1,75,00,000",Sameer,Viju Shah,"$130,000",Shabbir Boxwala,Cat Films,21-Jul-06,118 min,Uttam Gada,75,Uttam Gada,Yun Hota Toh Kya Hota,"1,75,00,000"
1551,,,,,,,,"20,00,000",,,,"1,25,000","7,00,000","4,25,000",Devotional,"22,50,000",,,$---,,,28-Jul-06,135 min,,10,,Beda Paar Karte Bhagwan Amarnath,"22,50,000"
1552,Parmita Katkar,Yuvraj Parashar,Nethra Raghuraman,Sameer Dharmadhikari,Deep Dhillon,,,"1,75,00,000",Imtiaaz J. Khan,Imtiaaz J. Khan,,"3,25,000","15,00,000","10,00,000",Thriller,"37,00,000",Sameer,Aadesh Shrivastava,$---,Farah Sultan Ahmed,Sultaan Productions,14-Jul-06,120 min,Imtiaaz J. Khan,20,Imtiaaz J. Khan,Husn - Love & Betrayal,"37,00,000"
1553,Adam Bedi,Sandhya Mridul,Vineet Kumar,Tannishtha Chatterjee,Sanjay Kumar,"
",,"90,00,000",Sanjay Jha,Sanjay Jha,,--,"50,000",--,Drama,"72,500","Zubeen Garg,Minoo Singh,Deepak Sneh,Ajay Jhingran,Sumeet Acharya",Zubeen Garg,$---,"Sanjay Jha,Matthew Vargese",Phoebus Creations Media Pvt. Ltd.,14-Jul-06,90 min,Sanjay Jha,6,Sanjay Jha,Strings - Bound By Faith,"72,500"
1554,Milind Gunaji,,,,,"
",,"40,00,000",Pyarelal Sharma,K. Bhushan,,"75,000","3,00,000","2,25,000",Adult,"6,50,000",Sahil Sultanpuri,Abhi - Raj,$---,"Pyarelal Sharma,Ajay Mugutmal",S.M. Cine Vision,14-Jul-06,130 min,Pyarelal Sharma,8,Pyarelal Sharma,Karo Na... Pyaar,"6,50,000"
1555,Rajpal Yadav,Kim Sharma,Razzak Khan,Manoj Pahwa,Dinesh Hingoo,Krishna Bhatt,Shahbaaz Khan,"2,50,00,000","Mamidala Srinivas,Gajan Sagar",Uday Kant,,"6,00,000","27,00,000","19,00,000",Comedy,"53,00,000","Gajan Sagar,Ankit Sagar,Vimal Kashyap",Nishadh Chandra,$---,"Mamidala Srinivas,Peddabomma Vijay Kumar",Sri Raajeshwari Films,07-Jul-06,134 min,"Mamidala Srinivas,Gajan Sagar",25,Gajan Sagar,Ladies Tailor,"53,00,000"
1556,Sonu Pahuja,Karan,Jyoti Pandey,Nisha Yadav,,,,"15,00,000",Rubi Shrivastava,Purrshottam,,--,--,--,Adult,"6,00,000",Abhilash,Jayant Aaryan,$---,Subhash R. Duragkkar,Dulhadev Karikarta Malanmata Guru Films,30-Jun-06,77 min,Subhash R. Duragkkar,2,Rubi Shrivastava,Item Girl,"6,00,000"
1557,Jackie Shroff,Paresh Rawal,Rahul Roy,Raj Aditya,Tejshree,Mita Vashisht,Govind Namdeo,"1,50,00,000",R.S. Pandit,Rakesh Kakaria,,"50,000","2,00,000","1,50,000",Drama,"3,25,000",Dev Kohli,Anand Raj Anand,$---,R.S. Sodhani,Om Shree Guru Productions,07-Jul-06,149 min,"R.S. Sodhani,R.S. Pandit",5,R.S. Pandit,Vidyaarthi,"3,25,000"
1558,Ravish Pandey,,,,,,,"15,00,000",Ajay Raj,Fahim Khan,,--,--,--,Adult,"5,50,000","Ajay Raj,Tasavar Azmi",Tasavar Azmi,$---,Fahim Khan,Rukmani Kamble Films,16-Jun-06,78 min,,1,Ajay Raj,Ek Baar Aao Na,"5,50,000"
1559,Samir Kochhar,Payal Rohatgi,,,,,"
","65,00,000",T.L.V. Prasad,T.L.V. Prasad,,"2,00,000","8,75,000","6,25,000",Adult,"22,75,000",,Gunwant Sharma,$---,Ramesh Agarwal,Shagun Film Creation,16-Jun-06,119 min,T.L.V. Prasad,12,Anoop Shrivastava,Ek Se Mera Kya Hoga,"22,75,000"
1560,Sarika,Lynsey Pow,Frederic Andrau,,,,,"2,50,00,000","Abhigyan Jha,Abhiyan Rajhans","Abhigyan Jha,Abhiyan Rajhans",,"1,50,000","7,25,000","5,25,000",Drama,"12,25,000",,Claver Menezes,$---,,Sahara One Motion Pictures,02-Jun-06,109 min,,25,,Sacred Evil - A True Story,"12,25,000"
1561,Rishi Kapoor,Aksshat Bhatia,Namitha,Satish Shah,Shoma Anand,Parmita Katkar,Shashi Kiran,"3,50,00,000","Rajeev Kaul,Praful Parekh",B.H. Tharun Kumar,,"4,50,000","20,00,000","14,50,000",Rom - Com,"34,50,000","Praveen Bhardwaj,Dev Kohli","Anand Raj Anand,Daboo Malik,Nikhil - Vinay",$---,"Dev Goradia, ",Manash Productions,02-Jun-06,129 min,"Praful Parekh,Rajeev Kaul",55,Raghuvir Shekawat,Love Ke Chakkar Mein...,"34,50,000"
1562,Tarun Arora,Nilanjana,Divya Dwivedi,Tom Alter,,Tinnu Anand,Rati Agnihotri,"80,00,000","Nisar Akhtar,Bobby Khan,Rakesh Sawant",Rakesh Sawant,,"2,25,000","10,50,000","7,25,000",Drama,"29,50,000",Sandeep Nath,Bappi - Tutal,$---,Nick Patel,Calvin Films,16-Jun-06,116 min,Nisar Akhtar,18,Nisar Akhtar,Hot Money,"29,50,000"
1563,Saagar Bhatia,Swati Dasgupta,Sanjeev Tiwari,Ruhi Resham Khan,,,"
","70,00,000",Sikander Bhatia,Sikander Bhatia,,"1,15,000","5,00,000","3,50,000",Drama,"13,75,000","Raza,Jauhar Kanpuri,Anita Soni","Kamran Khan,Ghulam Dastgir",$---,,Shree Shraddha Films,09-Jun-06,126 min,Sikander Bhatia,7,Sikander Bhatia,Mobile Phone,"13,75,000"
1564,Nassar Abdulla,Payal Rohatgi,Tarun Arora,Tina Mazumdar,Shri Vallabh Vyas,,,"85,00,000","Bobby Khan,Khawar Jalees",Shrey Srivastava,,"3,25,000","15,00,000","10,50,000",Drama,"33,50,000","Shaheen Iqbal,Dean",Sanjeev Srivastava,$---,"Avinash Agarwal,Arya Ved Prakash",Shri Vardan Pictures,02-Jun-06,106 min,Shrey Srivastava,18,"Bobby Khan,Khawar Jalees",Men Not Allowed,"33,50,000"
1565,Tanveer Hashmi,,,,,"
",,"15,00,000",,Suresh Jain,,--,--,--,Adult,"16,00,000",,Shivam Bagchi,$---,,Royal Creations Pvt. Ltd.,26-May-06,81 min,,2,,Bhiga Badan,"16,00,000"
1566,Rakesh Bapat,Sudhanshu Pandey,Meera Vasudevan,Parikshat Sahni,Supriya Karnik,,,"90,00,000",Arunava Mukherjee,Dev Bsu,,"75,000","3,00,000","2,25,000",Love Story,"5,00,000","Vinay Tiwari,Sunil Jogi,Jyoti Nayyar",Nikhil - Vinay,$---,Yogesh B. Verma,Jay Pictures,26-May-06,121 min,Arunava Mukherjee,6,Arunava Mukherjee,Jaadu Sa Chal Gaya,"5,00,000"
1567,Rakesh,Shalini Pal,,,,,,"75,00,000","Adil Azmi,Suhail Azmi,Zia-Ul-Haq",Suhail Azmi,,"1,75,000","8,00,000","5,50,000",Thriller,"17,75,000",Shabbir Ahmed,"Kabir,Suresh Rajeha",$---,"Vinod Sharma,Vinod Chaubey",S.S. Movie International,19-May-06,100 min,"Suhail Azmi,Zia-Ul-Haq,Adil Azmi",10,"Suhail Azmi,Zia-Ul-Haq,Adil Azmi",Ek Zakhm - The Blast,"17,75,000"
1568,Amit Kapoor,,,,,,"
","15,00,000",Arjun Raj,Arjun Raj,,--,--,--,Adult,"7,75,000",,Tapan,$---,Veenu,M.G.N. Films,12-May-06,83 min,Arjun Raj,1,Arjun Raj,Hot Maliaka,"7,75,000"
1569,Uunnat Duutt,Shaiza Kashyap,Shamsher Mehndi,,,,,"20,00,000","Uunnat Duutt,Abhishek Saluja",Uunnat Duutt,,--,"50,000",--,Comedy,"75,000",,"Santosh Mehta,Desi Hustlers,Aryan",$---,Uunnat Duutt,Duutt Productions,27-Sep-13,0 min,Uunnat Duutt,2,Uunnat Duutt,Tere Pyaarr Mein Paapad,"75,000"
1570,Ranbir Kapoor,Rishi Kapoor,Neetu Singh,Pallavi Sharda,Javed Jaffrey,Amitosh Nagpal,Mohan Kapoor,"83,00,00,000","Abhinav Kashyap,Rajeev Barnwal",Abhinav Kashyap,,"19,87,00,000","49,11,00,000","32,29,00,000",Comedy,"77,10,00,000","Kumaar,Himanshu Kishan Mehra,Nikhat Khan,Rajeev Barnwal",Lalit Pandit,"$2,930,000","Sanjeev Gupta,Himanshu Kishan Mehra",Movie World Studios Ltd.,02-Oct-13,141 min,"Rajeev Barnwal,Abhinav Kashyap",3400,"Rajeev Barnwal,Abhinav Kashyap",Besharam,"95,11,95,000"
1571,Kapil Jhaveri,Pratiksha Patel,Rajat Bedi,Ronit Roy,Mumaith Khan,,,"1,25,00,000",Anil Kalekar,Sharad Chaudhary,,"3,00,000","13,50,000","9,50,000",Mystery,"26,00,000",Shyam Anuragi,"Jeet Ganguly,Anup Jalota",$---,"Anup Jalota,Ravi Bhushan Wadhawan",Anup Jalota,27-May-05,127 min,Anil Kalekar,25,Anil Kalekar,Nishaan - The Mark,"26,00,000"
1572,Attin Bhalla,Preeti Mehra,Harsh Chhaya,Yashpal Sharma,Tej Sapru,,,"1,50,00,000",Khalid Majeed,Imran Khalid,,"1,50,000","7,00,000","5,00,000",Love Story,"15,50,000","Farhad,Shabbir Ahmed",Anand - Milind,$---,Irshad S. Ahmed,Sunrise Enterprises,05-May-06,139 min,"Rajan Aggarwal,Khalid Majeed",15,"Nisar Akhtar,Bobby Khan",Dhadkanein,"15,50,000"
1573,Waqar Khan,Rinkle Tyagi,Urvashi Chowdhary,Mushtaq Khan,,,,"65,00,000",Awani Agrawal,Naeem Khan,,"75,000","3,00,000","2,25,000",Drama,"5,00,000","Shabbir Ahmed,Usman Bastavi,Raj Inder Raj",Nazakat - Shujat,$---,Naeem Khan,Tasveer Creations Pvt. Ltd.,14-Apr-06,105 min,Awani Agrawal,5,Awani Agrawal,Ishq Na Karna,"5,00,000"
1574,Raj Tara,Meghna Naidu,Padmini Kolhapure,Gulshan Grover,Surbhi Purohit,Raju Kher,,"2,50,00,000",Karan Razdan,Karan Razdan,,"1,50,000","6,00,000","4,50,000",Thriller,"9,00,000","Praveen Bhardwaj,Shaily Shailendra",Daboo Malik,$---,Lucky Kohli,United Dreams Entertainment,14-Apr-06,120 min,Karan Razdan,20,Karan Razdan,Eight - Shani,"9,00,000"
1575,Rahul,,,,"
",,,"25,00,000",Kaushal Singh,Kaushal Singh,,--,"50,000",--,Adult,"72,500","Islam Khan,Riyaz Sultan",S. Prabhath,$---,Kaushal Singh,Kaushal Films Production,07-Apr-06,0 min,Kaushal Singh,2,Kaushal Singh,Mumbai Aadhi Raat Mein,"72,500"
1576,Mahesh,,,,,,,"60,00,000",,Simran,,--,--,--,Adult,"22,00,000","Yogesh,S. Kumar","Anand - Milind,Pravin Kumar",$---,Simran,Jai Mata Di Pictures,31-Mar-06,132 min,Harvindra Pal,5,,Be Parda,"22,00,000"
1577,Victor Banerjee,Khalid Siddique,Hazel Croney,Mohini,Dharmik Samani,Neena Kulkarni,Rajkumar Kanojia,"1,25,00,000",Wilson Louis,Wilson Louis,,"1,25,000","5,00,000","3,75,000",Drama,"8,00,000",,Rahul Ranade,$---,Ashok Kotwani,Ankk Media Arts Pvt. Ltd.,31-Mar-06,102 min,Wilson Louis,25,Sampurn Anand,Ho Sakta Hai!,"8,00,000"
1578,Sameer Dharmadhikari,Kanishkaa Kapoor,Gurpreet Singh,Aditi Govitrikar,Supriya Karnik,Smita Hai,Rajeev Verma,"2,00,00,000",Saalam Khamboshi,Shivram Yadav,,"5,50,000","24,25,000","17,50,000",Drama,"49,00,000",Sandeep Nath,Bappi - Tutal,$---,Shivram Yadav,Deoria Talkies,31-Mar-06,134 min,Saalam Khamboshi,35,Sandeep Nath,Madhubaala,"49,00,000"
1579,Saahib,Preeti Jhangiani,Shakti Kapoor,Alok Nath,Himani Shivpuri,Upasna Singh,Tej Sapru,"2,75,00,000",,Mustafa Engineer,,"3,50,000","15,00,000","11,00,000",Love Story,"29,00,000","Rishi Azad,Sani Aslam,Afsar Azad,Babubhai",Vishnu Narayan,$---,Babar Chopra,Creative Channel,31-Mar-06,151 min,Mustafa Engineer,30,,Chand Ke Paar Chalo,"29,00,000"
1580,Rahul Roy,Sherlyn Chopra,Hitesh Kripalani,Rocky Sandhu,Bobby Darling,,"
","1,75,00,000",T.L.V. Prasad,T.L.V. Prasad,,"8,50,000","36,75,000","27,00,000",Comedy,"67,00,000","Vijay Vijayat,Nitin Raikwar",Arun Daga,$---,,Evershine Films,31-Mar-06,95 min,"Aman Jaffery,Bholu Khan,Anoop Shrivastava",70,"Bholu Khan,Aman Jaffery,Anoop Shrivastava",Naughty Boy,"67,00,000"
1581,Sapna,Amit Pachori,,,,"
",,"25,00,000",Bashir Babbar,Kanti Shah,,--,--,--,Adult,"21,50,000",,Sawan Kumar Sawan,$---,Sapna,Pali Films,24-Mar-06,88 min,Bashir Babbar,2,Bashir Babbar,Free Entry,"21,50,000"
1582,Mahima Chaudhary,Vikram Singh,Kiran Rathod,Gulshan Grover,Padmini Kolhapure,Shakti Kapoor,Shiva Rindani,"3,50,00,000",Karan Razdan,Karan Razdan,,"17,00,000","76,00,000","53,00,000",Thriller,"1,54,00,000",Praveen Bhardwaj,Anand - Milind,$---,Naveen Tak,Silver Productions,24-Mar-06,131 min,Karan Razdan,110,Karan Razdan,Souten - The Other Woman,"1,54,00,000"
